Ticker
AAPL
MSFT
XOM
JNJ
BRKB
JPM
AMZN
GE
FB
T
WFC
GOOGL
GOOG
BAC
PG
CVX
VZ
PFE
C
INTC
CMCSA
MRK
HD
KO
DIS
UNH
CSCO
PEP
V
IBM
PM
MO
SLB
ORCL
AMGN
MMM
WMT
ABBV
MA
GILD
MCD
BMY
MDT
QCOM
CELG
BA
GS
HON
CVS
UNP
UTX
USB
SBUX
AGN
UPS
TWX
TXN
PCLN
LLY
ACN
WBA
NKE
AVGO
COST
MDLZ
DOW
DD
AIG
LMT
BIIB
COP
CHTR
MS
LOW
CB
MET
EOG
CL
AXP
ABT
PNC
SPG
TMO
NVDA
NEE
NFLX
CAT
OXY
DUK
KHC
ADBE
BK
GM
F
GD
TJX
SCHW
HAL
DHR
SO
D
BLK
ADP
CRM
FDX
MON
PYPL
RAI
PRU
AMT
ESRX
COF
AET
RTN
KMI
TGT
NOC
KMB
JCI
APC
CME
HPE
ITW
PSX
BBT
ANTM
DAL
SYK
GIS
EMR
CI
YHOO
MMC
BDX
AMAT
CTSH
CSX
TRV
ICE
PSA
MCK
PX
EXC
NSC
LUV
APD
CCI
KR
PXD
ECL
EBAY
AEP
VLO
ETN
PCG
FOXA
DE
BSX
STT
AON
SYF
LYB
HUM
SE
DFS
REGN
SPGI
AFL
WM
PLD
ALXN
STZ
INTU
SYY
STI
BHI
ALL
MPC
ZTS
ORLY
ADM
ROST
MAR
EQIX
CBS
HPQ
PPG
ATVI
FIS
SRE
DVN
MTB
EA
ISRG
TEL
AVB
CAH
AAL
HCN
APA
FISV
EIX
EQR
MU
PPL
STJ
GLW
PCAR
AZO
WY
HCA
ADI
NWL
SHW
ED
VTR
IP
CCL
YUM
PEG
BAX
CMI
WMB
UAL
APH
ZBH
PGR
EW
FITB
XEL
WDC
OMC
BXP
KEY
PAYX
CXO
ILMN
IR
NUE
DG
NTRS
VRTX
PH
DLPH
ROP
TROW
DLTR
MNST
FCX
WEC
CFG
NEM
VNO
TSN
K
HIG
TAP
AMP
MYL
RF
VFC
SWK
DTE
ROK
EL
ES
LRCX
LVLT
VMC
DPS
BCR
HES
NBL
FTV
DLR
CAG
MCO
LB
WLTW
PFG
CLX
LNC
ADSK
ULTA
MRO
A
GGP
ESS
SYMC
LLTC
O
SJM
XLNX
HBAN
HSY
CERN
NOV
GPC
EFX
MLM
BEN
HST
NLSN
HCP
ABC
RCL
CTXS
WHR
MCHP
MSI
CTL
SWKS
FOX
ADS
EXPE
FAST
BLL
XRAY
TXT
LH
MJN
FE
XEC
ETR
RSG
RHT
WRK
IVZ
MHK
AWK
L
GWW
DGX
HRS
KMX
AEE
VIAB
VRSK
AAP
TDG
HSIC
PRGO
KLAC
OKE
COL
CMA
AKAM
DOV
BBY
CPB
LLL
CHD
CMS
AME
STX
EMN
CINF
SLG
HOLX
MTD
EQT
GPN
MAA
CMG
KIM
JNPR
ALK
WU
WAT
M
MAS
MOS
MKC
AYI
CNP
UNM
SCG
HOG
DVA
FRT
CHRW
IDXX
COG
COH
CNC
CA
CTAS
XL
ALB
MAT
TSCO
SNA
TSO
PNR
FL
WFM
ETFC
UHS
CBG
NTAP
EXR
UDR
HRL
EXPD
LKQ
AJG
DHI
IPG
FFIV
IFF
URI
HAS
KSS
SEE
XYL
ZION
COTY
DRI
KSU
LNT
MAC
COO
TSS
PNW
ARNC
LEN
JBHT
HBI
TIF
HP
NFX
GT
FBHS
VAR
TMK
BF.B
IRM
FTI
AMG
BWA
WYN
FMC
EVHC
HAR
NDAQ
CF
LUK
AES
FLR
NI
PVH
WYNN
JEC
VRSN
AIV
KORS
SNI
QRVO
LEG
SIG
RHI
SRCL
FLS
AVY
BBBY
ALLE
RRC
DISCK
PBCT
XRX
RIG
SPLS
PKI
GRMN
MNK
JWN
PHM
UAA
TRIP
AIZ
PWR
GPS
CHK
HRB
MUR
RL
SWN
NAVI
FLIR
UA
CSRA
TGNA
DNB
NWSA
DISCA
FTR
NRG
R
TDC
PDCO
ENDP
AN
PBI
FSLR
URBN
NWS




